Word;Frequency;Rank;Logarithm of Frequency;Logarithm of rank
оба;20;120;1.301029995663981;2.0791812460476247
декабрист;20;121;1.301029995663981;2.08278537031645
выйти;19;122;1.2787536009528289;2.086359830674748
должный;19;123;1.2787536009528289;2.0899051114393976
прийти;19;124;1.2787536009528289;2.093421685162235
вставать;19;125;1.2787536009528289;2.0969100130080562
кроме;19;126;1.2787536009528289;2.1003705451175625
рассказать;19;127;1.2787536009528289;2.103803720955957
начаться;19;128;1.2787536009528289;2.107209969647868
г;19;129;1.2787536009528289;2.110589710299249
подойти;19;130;1.2787536009528289;2.1139433523068365
остаться;19;131;1.2787536009528289;2.117271295655764
загадка;19;132;1.2787536009528289;2.1205739312058496
дверь;19;133;1.2787536009528289;2.123851640967086
ерофеев;18;134;1.2552725051033058;2.1271047983648073
веня;18;135;1.2552725051033058;2.130333768495006
жить;18;136;1.2552725051033058;2.1335389083702174
господь;18;137;1.2552725051033058;2.1367205671564067
сначала;18;138;1.2552725051033058;2.1398790864012365
старый;18;139;1.2552725051033058;2.143014800254095
сто;18;140;1.2552725051033058;2.1461280356782377
любовь;18;141;1.2552725051033058;2.1492191126553797
окно;18;142;1.2552725051033058;2.1522883443830563
увидеть;17;143;1.2304489213782739;2.1553360374650614
пиво;17;144;1.2304489213782739;2.1583624920952493
далёкий;17;145;1.2304489213782739;2.1613680022349744
узнать;17;146;1.2304489213782739;2.1643528557844367
ответить;17;147;1.2304489213782739;2.1673173347481756
водка;17;148;1.2304489213782739;2.170261715394957
земля;17;149;1.2304489213782739;2.173186268412274
двадцать;17;150;1.2304489213782739;2.176091259055681
прошлый;17;151;1.2304489213782739;2.1789769472931693
смеяться;17;152;1.2304489213782739;2.181843587944772
тётя;17;153;1.2304489213782739;2.1846914308175984
митрич;17;154;1.2304489213782739;2.187520720836463
серп;16;155;1.2041199826559246;2.1903316981702914
вечер;16;156;1.2041199826559246;2.1931245983544616
наоборот;16;157;1.2041199826559246;2.1958996524092336
нужный;16;158;1.2041199826559246;2.1986570869544226
верный;16;159;1.2041199826559246;2.2013971243204513
иван;16;160;1.2041199826559246;2.2041199826559246
брать;16;161;1.2041199826559246;2.2068258760318495
кубанский;16;162;1.2041199826559246;2.2095150145426303
отвечать;16;163;1.2041199826559246;2.2121876044039577
садиться;16;164;1.2041199826559246;2.214843848047698
пушкин;16;165;1.2041199826559246;2.217483944213906
лемма;16;166;1.2041199826559246;2.220108088040055
бежать;16;167;1.2041199826559246;2.2227164711475833
пора;15;168;1.1760912590556811;2.2253092817258624
целый;15;169;1.1760912590556811;2.2278867046136734
посмотреть;15;170;1.1760912590556811;2.2304489213782737
суметь;15;171;1.1760912590556811;2.2329961103921536
народ;15;172;1.1760912590556811;2.2355284469075487
ждать;15;173;1.1760912590556811;2.2380461031287955
пятьдесят;15;174;1.1760912590556811;2.2405492482825995
